Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
petani,farmer
bersin,to sneeze,lesson8 health id-en
beach,pantai,lesson9 places en-id
newspaper,koran,lesson5 vocab en-id
kurang,less; not very
dry season,musim kemarau,lesson1 adjectives-prefixes weather en-id
pantai,beach,lesson9 places id-en
setiap hari,every day,lesson3 shopping frequency id-en
direct flight,penerbangan langsung,lesson7 transport en-id
grandmother,nenek,lesson5 family en-id
meeting room,ruang meeting,lesson5 rooms en-id
left (direction),kiri,lesson2 tenses directions en-id
My parents live in a village.,Orang tua saya tinggal di desa.
"Ketika aku masih kecil, aku tinggal di desa.","When I was little, I lived in a village.",lesson8 id-en phrase
tadi,earlier (today)
nanti,later (today)
autumn,musim gugur,lesson1 adjectives-prefixes weather en-id
This bus is full; we must wait for the next bus.,"Bus ini penuh, kita harus tunggu bus selanjutnya.",lesson7 en-id phrase
taste,rasa,lesson3 shopping coffee en-id
keras,hard / loud / tough,lesson8 qualities id-en
kadang,sometimes (short form)
be careful,hati-hati,lesson4 safety-signs en-id
nol (kosong),zero
My ear hurts; maybe there's an infection.,"Telinga saya sakit, mungkin ada infeksi.",lesson6 en-id phrase
the same activities,aktivitas yang sama,lesson8 activities-methods en-id
pedesaan,countryside,lesson4 travel id-en
berbahaya,dangerous,lesson9 descriptions id-en
from ... to/until ...,dari ... sampai ...,lesson2 tenses time en-id
Perubahan iklim membuat badai lebih banyak.,Climate change makes storms more frequent.,lesson7 id-en phrase
kapan terakhir kali ...,when was the last time ...,lesson9 travel-time id-en
rules; regulations,peraturan
Aku takut hujan deras; bisa bahaya.,I'm afraid of heavy rain; it can be dangerous.,lesson9 id-en phrase
I usually sleep at eleven.,Biasanya saya tidur jam sebelas.
I asked about the rental agreement.,Saya bertanya tentang perjanjian sewa.
Kamarnya berantakan.,The room is messy.,lesson8 id-en phrase
samping,next to,lesson7 directions id-en
Dia masih tidur.,He/She is still sleeping.,lesson8 id-en phrase
mountain,gunung,lesson9 places en-id
burung di luar jendela,bird outside the window,lesson5 vocab id-en
I’m lucky to have a friendly neighbour.,Saya beruntung punya tetangga yang ramah.
uang,money,lesson3 shopping shopping id-en
petualangan,adventure,lesson9 comparison-misc id-en
"Which is your favourite, the beach or a mountain adventure?","Yang mana favoritmu, pantai atau petualangan di gunung?",lesson9 en-id phrase
istri,wife
(pekerjaan) jarak jauh,remote work / long-distance,lesson4 work-study id-en
It's most comfortable to go early in the morning.,Paling nyaman pergi pagi-pagi.,lesson9 en-id phrase
south-west,barat daya
can I enter?,boleh masuk?,lesson5 phrases-grammar en-id
semuanya baik,everything is good,lesson6 health-comm id-en
pagar,fence
Saya punya tiga ratus empat puluh dua foto.,I have 342 photos.
cheap,murah,lesson8 money-shopping en-id
halte,bus stop,lesson7 transport id-en
pengalaman,experience,lesson3 shopping coffee id-en
hati-hati,be careful,lesson3 shopping misc id-en
recently,baru-baru ini
selatan,south
sekali,really (after adjective),lesson1 adjectives-prefixes intensifier id-en
campur,to mix,lesson3 shopping coffee id-en
to visit (intransitive),berkunjung,lesson2 tenses travel en-id
membeli,to buy (formal),lesson1 adjectives-prefixes shopping id-en
four,empat
The journey takes seven or eight hours.,Perjalanan itu memakan waktu tujuh atau delapan jam.,lesson9 en-id phrase
sewa,to rent / lease,lesson1 adjectives-prefixes rentals id-en
meneliti,to research
bisa bayar dengan kartu?,can I pay with a card?,lesson3 shopping shopping id-en
That price is not very suitable for us.,Harga itu kurang cocok untuk kami.
tapi,but; however
North Sumatra,Sumatera Utara,lesson9 places en-id
Nobody answered the phone.,Tidak seorang pun menjawab telepon.
sixth floor,lantai 6,lesson5 rooms en-id
Garasi saya berantakan; saya harus beres-beres.,My garage is a mess; I need to tidy up.
kapal,boat / ship / canoe,lesson7 transport id-en
I want to ask about the heater in the room.,Aku mau tanya tentang pemanas di kamar.,lesson9 en-id phrase
suami,husband
In two years I will move.,Dalam dua tahun saya akan pindah.,lesson2 tenses en-id phrase
quiet / silent,sunyi,lesson8 qualities en-id
bulan,month / moon,lesson2 tenses time id-en
six,enam
take,ambil,lesson3 shopping shopping en-id
summer,musim panas,lesson1 adjectives-prefixes weather en-id
I'm looking for...,saya cari...,lesson3 shopping shopping en-id
eighteen,delapan belas
enam puluh,sixty
kuping,ear (colloq.),lesson6 health-comm id-en
other islands,pulau lain,lesson5 rooms en-id
Saya selalu sarapan.,I always eat breakfast.
kemarin,yesterday,lesson2 tenses time id-en
My birthday is in May.,Ulang tahun saya bulan Mei.
tidak pernah,never,lesson3 shopping frequency id-en
schedule for crossing islands,jadwal penyeberangan,lesson7 transport en-id
Saya tidak butuh apa-apa.,I don’t need anything / I need nothing.
now,sekarang,lesson2 tenses time en-id
saja,just / only,lesson7 grammar-expressions id-en
kura-kura,turtle,lesson3 shopping misc id-en
I'll shower first.,Saya mandi dulu.,lesson8 en-id phrase
Climate change makes storms more frequent.,Perubahan iklim membuat badai lebih banyak.,lesson7 en-id phrase
murah,cheap,lesson9 comparison-misc id-en
there is always a problem,selalu ada masalah,lesson5 phrases-grammar en-id
tunda,delay,lesson7 transport id-en
lima puluh,fifty
kering,dry,lesson1 adjectives-prefixes weather id-en
baik,good (behaviour/health),lesson1 adjectives-prefixes quality id-en
lutut,knee,lesson2 tenses body id-en
berbeda,different,lesson5 vocab id-en
south,selatan
Her husband asked the farmer about the price of the fruit.,Suami dia bertanya kepada petani tentang harga buah.
tidak tahan dingin,can’t handle the cold,lesson6 temperature id-en
Christmas,Natal
Anyone can join.,Siapa pun bisa ikut.
enam,six
belakangan ini,these days,lesson7 health-weather id-en
weather,cuaca,lesson1 adjectives-prefixes weather en-id
Pemandangannya indah.,The view is beautiful.,lesson1 adjectives-prefixes id-en phrase
Di pasar ada banyak buah.,There are many fruits at the market.
"When he called me, I was at the bus stop.","Ketika dia telepon aku, saya sedang di halte.",lesson7 en-id phrase
wisatawan,tourist(s),lesson9 people-culture id-en
dapat,can; be able to; (colloq.) get
ask for,minta,lesson5 phrases-grammar en-id
sepuluh,ten
cara hidup orang Indonesia,the way of life of Indonesians,lesson9 people-culture id-en
pernikahan temanku,my friend's wedding,lesson9 people-culture id-en
already (marker),sudah,lesson2 tenses grammar en-id
climate change,perubahan iklim,lesson7 health-weather en-id
Yesterday I returned home.,Kemarin saya pulang ke rumah.,lesson6 en-id phrase
beginning; start,awal
to return home,pulang,lesson6 movement en-id
I'm afraid of heavy rain; it can be dangerous.,Aku takut hujan deras; bisa bahaya.,lesson9 en-id phrase
last night / yesterday (regional),semalam,lesson2 tenses time en-id
for / during (duration),selama,lesson2 tenses time en-id
lantai atas,upstairs,lesson5 rooms id-en
room (formal),ruangan,lesson5 rooms en-id
tujuh belas,seventeen
panas,hot / heat,lesson6 temperature id-en
forbidden / prohibited,dilarang,lesson4 safety-signs en-id
"Even in Jakarta, electricity rates rose again.","Bahkan di Jakarta, tarif listrik naik lagi.",lesson8 en-id phrase
That festival is every August.,Festival itu setiap Agustus.
the day after tomorrow,lusa
to sneeze,bersin,lesson8 health en-id
every few weeks,setiap beberapa minggu,lesson5 time en-id
ruang,room,lesson5 rooms id-en
previous / before,sebelumnya,lesson7 directions en-id
monthly,bulanan
tahun,year,lesson2 tenses time id-en
"work (verb/noun, colloq.)",kerja,lesson2 tenses work en-id
sebelumnya,previous / before,lesson7 directions id-en
derajat,degrees (temperature),lesson6 temperature id-en
This is the first time I’ve met the new neighbour.,Ini pertama kali saya bertemu tetangga baru.
sedikit,few / little
end,akhir
ter-,"superlative (e.g., tercantik)",lesson1 adjectives-prefixes grammar id-en
different,berbeda,lesson5 vocab en-id
delay,tunda,lesson7 transport en-id
Apakah kamu butuh sesuatu?,Do you need something?
nearly 3 months already,sudah hampir 3 bulan,lesson5 time en-id
live; stay,tinggal,lesson2 tenses life en-id
Gunung itu ramah bagi wisatawan pemula.,That mountain is friendly to beginner tourists.,lesson9 id-en phrase
ngapain?,what are you doing?,lesson3 shopping misc id-en
The weather today is really cold.,Cuaca hari ini dingin sekali.,lesson1 adjectives-prefixes en-id phrase
sebagian,some / a portion
the first system,sistem pertama,lesson8 tech-utilities en-id
Heavy rain caused a flood.,Hujan deras menyebabkan banjir.,lesson7 en-id phrase
Budaya lokal menarik untuk dipelajari.,Local culture is interesting to study.,lesson9 id-en phrase
beli,buy,lesson1 adjectives-prefixes shopping id-en
knee,lutut,lesson2 tenses body en-id
I want to ask,aku mau tanya,lesson9 comparison-misc en-id
cash,tunai,lesson3 shopping shopping en-id
Angin bertiup dari barat.,The wind blows from the west.
Kapan terakhir kali kamu pergi ke Skotlandia?,When was the last time you went to Scotland?,lesson9 id-en phrase
ke- -an,"abstract noun/state (e.g., kebaikan)",lesson1 adjectives-prefixes grammar id-en
knee pain,sakit lutut,lesson2 tenses health en-id
selalu,always,lesson3 shopping frequency id-en
Kami bertemu setiap minggu.,We meet every week.
sama,same,lesson6 comparison id-en
nine,sembilan
ambil,take,lesson3 shopping shopping id-en
dua,two
lucky,beruntung
anything,apa pun
I missed the previous bus.,Saya terlewat bus sebelumnya.,lesson7 en-id phrase
We meet every week.,Kami bertemu setiap minggu.
lari,to run,lesson6 sports id-en
jadwal penyeberangan,schedule for crossing islands,lesson7 transport id-en
to research,meneliti
messy / in a mess,berantakan,lesson8 cleanliness en-id
the whole / entire,seluruh
except,kecuali,lesson4 safety-signs en-id
Most students understand.,Sebagian besar siswa paham.
penyanyi,singer (from menyanyi),lesson1 adjectives-prefixes grammar id-en
musim dingin,winter,lesson1 adjectives-prefixes weather id-en
Februari,February
Juli,July
seluruh,the whole / entire
Juni,June
usually / normally,biasanya
Januari,January
perjanjian,agreement
bicycle,sepeda,lesson7 transport en-id
"When I was little, I lived in a village.","Ketika aku masih kecil, aku tinggal di desa.",lesson8 en-id phrase
Cuaca hari ini dingin sekali.,The weather today is really cold.,lesson1 adjectives-prefixes id-en phrase
Uruguay,Uruguay,lesson4 travel en-id
Recently I moved from my previous home.,Baru-baru ini saya pindah dari rumah yang dulu.
tunai,cash,lesson3 shopping shopping id-en
(to) help,bantu,lesson4 verbs en-id
candi,temple (Buddhist),lesson5 vocab id-en
Saya makan setengah kue itu.,I ate half of that cake.,lesson8 id-en phrase
lusa,the day after tomorrow
kamu pernah coba kopi?,have you ever tried coffee?,lesson3 shopping coffee id-en
dust,debu,lesson8 cleanliness en-id
air conditioner / cooler,pendingin,lesson6 temperature en-id
neighbour,tetangga
pura,temple (Hindu),lesson5 vocab id-en
hati,heart,lesson4 safety-signs id-en
rasa,taste,lesson3 shopping coffee id-en
tertarik,interested (in),lesson3 shopping misc id-en
Tidak ada banyak aktivitas,Not many activities,lesson4 travel id-en
fence,pagar
rumah yang dulu,previous home
darat,land,lesson7 transport id-en
snake,ular,lesson1 adjectives-prefixes animals en-id
bersih,clean (adjective),lesson8 cleanliness id-en
semalam,last night / yesterday (regional),lesson2 tenses time id-en
lelah,tired (formal),lesson2 tenses feelings id-en
wind / breeze,angin,lesson2 tenses weather en-id
husband,suami
early,awal,lesson5 time en-id
pasangan,partner (significant other)
but; however,tapi
can you lower it?,bisa kurang?,lesson3 shopping shopping en-id
tujuh puluh,seventy
"At the beginning of the meeting we asked questions, and in the end everyone agreed.","Di awal rapat kami bertanya, dan di akhir semua sepakat."
pemadaman listrik,power cut
power cut,pemadaman listrik
menekankan,to stress / to emphasise
to stress / to emphasise,menekankan
Ekuador,Ecuador
Ecuador,Ekuador
terlalu banyak yang harus dilakukan,too much to do
too much to do,terlalu banyak yang harus dilakukan
samping,next to / beside
next to / beside,samping
pastikan,make sure
make sure,pastikan
bagian,part
part,bagian
makanya / itu kenapa,that's why
that's why,makanya / itu kenapa
jauh lebih baik,much better
much better,jauh lebih baik
kebutuhan,needs
needs,kebutuhan
bersih,clean
clean,bersih
cuti,day off
day off,cuti
barang-barang,items
items,barang-barang
hal-hal,things (intangible possible)
things (intangible possible),hal-hal
tabir surya,suncream / sunscreen
suncream / sunscreen,tabir surya
itu tidak perlu,it's not necessary
it's not necessary,itu tidak perlu
Ada pemadaman listrik di rumah saya.,There is a power cut at my house.
There is a power cut at my house.,Ada pemadaman listrik di rumah saya.
Besok saya ambil cuti.,Tomorrow I’m taking a day off.
Tomorrow I’m taking a day off.,Besok saya ambil cuti.
Barang-barang ini untuk liburan.,These items are for the holiday.
These items are for the holiday.,Barang-barang ini untuk liburan.
Saya tidak suka hal-hal yang rumit.,I don’t like complicated things.
I don’t like complicated things.,Saya tidak suka hal-hal yang rumit.
Jangan lupa pakai tabir surya.,Don’t forget to use suncream.
Don’t forget to use suncream.,Jangan lupa pakai tabir surya.
Itu tidak perlu dibawa.,It’s not necessary to bring that.
It’s not necessary to bring that.,Itu tidak perlu dibawa.
Guru menekankan pentingnya belajar.,The teacher stressed the importance of studying.
The teacher stressed the importance of studying.,Guru menekankan pentingnya belajar.
Pastikan pintunya terkunci.,Make sure the door is locked.
Make sure the door is locked.,Pastikan pintunya terkunci.
"Saya capek, makanya saya tidur cepat.","I’m tired, that’s why I went to bed early."
"I’m tired, that’s why I went to bed early.","Saya capek, makanya saya tidur cepat."
Hari ini terlalu banyak yang harus dilakukan.,Today there’s too much to do.
Today there’s too much to do.,Hari ini terlalu banyak yang harus dilakukan.
Cuaca di sini jauh lebih baik.,The weather here is much better.
The weather here is much better.,Cuaca di sini jauh lebih baik.
Ekuador ada di Amerika Selatan.,Ecuador is in South America.
Ecuador is in South America.,Ekuador ada di Amerika Selatan.
Rumah saya ada di samping sekolah.,My house is next to the school.
My house is next to the school.,Rumah saya ada di samping sekolah.
Bagian ini sulit dipahami.,This part is difficult to understand.
This part is difficult to understand.,Bagian ini sulit dipahami.
Saya harus memenuhi kebutuhan anak-anak.,I have to meet the children’s needs.
I have to meet the children’s needs.,Saya harus memenuhi kebutuhan anak-anak.
Kamar hotelnya sangat bersih.,The hotel room is very clean.
The hotel room is very clean.,Kamar hotelnya sangat bersih.
jaket,jacket
jacket,jaket
baju,top (clothes)
top (clothes),baju
pakaian,clothes (any type)
clothes (any type),pakaian
es krim,ice cream
ice cream,es krim
lebih suka,like more (comparison)
like more (comparison),lebih suka
semakin,the more
the more,semakin
mesin,engine (car)
engine (car),mesin
berhenti,stop
stop,berhenti
mobil ibunya,his mum’s car
his mum’s car,mobil ibunya
kempes,flat tire
flat tire,kempes
bengkel,car garage
car garage,bengkel
rusak,broken
broken,rusak
cuti,holiday / leave
holiday / leave,cuti
hari libur bank,bank holiday
bank holiday,hari libur bank
hari libur umum,public/bank holiday
public/bank holiday,hari libur umum
natal,Christmas
Christmas,natal
tergantung,depends
depends,tergantung
bersemangat,excited/enthusiastic
excited/enthusiastic,bersemangat
santai,relax
relax,santai
bingung,confused
confused,bingung
remaja,teenagers
teenagers,remaja
kebanyakan,majority
majority,kebanyakan
pakai,to use
to use,pakai
khususnya,especially
especially,khususnya
berhubungan,related
related,berhubungan
layanan pos,postal service
postal service,layanan pos
Bahasa Melayu,Malay (language)
Malay (language),Bahasa Melayu
akar,root
root,akar
mirip,similar
similar,mirip
juta,million
million,juta
denda,fine
fine,denda
perbaharui,renew
renew,perbaharui
negara mana pun,any country
any country,negara mana pun
menurutku juga,I think so
I think so,menurutku juga
prosesnya lebih mudah untuk membuat visa di online,the process is easier to apply for a visa online
the process is easier to apply for a visa online,prosesnya lebih mudah untuk membuat visa di online
Saya lebih suka es krim cokelat.,I prefer chocolate ice cream.
I prefer chocolate ice cream.,Saya lebih suka es krim cokelat.
"Semakin saya belajar, semakin mudah bahasanya.","The more I study, the easier the language becomes."
"The more I study, the easier the language becomes.","Semakin saya belajar, semakin mudah bahasanya."
Mesin mobil ibunya rusak.,His mum’s car engine is broken.
His mum’s car engine is broken.,Mesin mobil ibunya rusak.
"Ban mobil saya kempes, jadi saya pergi ke bengkel.","My tyre is flat, so I went to the garage."
"My tyre is flat, so I went to the garage.","Ban mobil saya kempes, jadi saya pergi ke bengkel."
Besok saya cuti dari kantor.,Tomorrow I am on leave from work.
Tomorrow I am on leave from work.,Besok saya cuti dari kantor.
Hari libur bank jatuh pada hari Senin.,The bank holiday falls on Monday.
The bank holiday falls on Monday.,Hari libur bank jatuh pada hari Senin.
Saya santai di rumah saat hari libur umum.,I relax at home on public holidays.
I relax at home on public holidays.,Saya santai di rumah saat hari libur umum.
Remaja di sekolah itu sangat bersemangat.,The teenagers at that school are very enthusiastic.
The teenagers at that school are very enthusiastic.,Remaja di sekolah itu sangat bersemangat.
Kebanyakan orang suka makan es krim saat musim panas.,The majority of people like eating ice cream in summer.
The majority of people like eating ice cream in summer.,Kebanyakan orang suka makan es krim saat musim panas.
"Kalau bingung, kamu bisa tanya guru.","If you’re confused, you can ask the teacher."
"If you’re confused, you can ask the teacher.","Kalau bingung, kamu bisa tanya guru."
Layanan pos hari ini tutup.,The postal service is closed today.
The postal service is closed today.,Layanan pos hari ini tutup.
Bahasa Indonesia mirip dengan Bahasa Melayu.,Indonesian is similar to Malay.
Indonesian is similar to Malay.,Bahasa Indonesia mirip dengan Bahasa Melayu.
Harga tiketnya lima juta rupiah.,The ticket costs five million rupiah.
The ticket costs five million rupiah.,Harga tiketnya lima juta rupiah.
Kamu harus membayar denda.,You must pay a fine.
You must pay a fine.,Kamu harus membayar denda.
Saya perlu perbaharui paspor saya.,I need to renew my passport.
I need to renew my passport.,Saya perlu perbaharui paspor saya.
"Menurutku juga, ide itu bagus.","I think so too, that idea is good."
"I think so too, that idea is good.","Menurutku juga, ide itu bagus."
"Visa bisa dibuat online, prosesnya lebih mudah.","The visa can be made online, the process is easier."
"The visa can be made online, the process is easier.","Visa bisa dibuat online, prosesnya lebih mudah."
Bisa masuk negara mana pun dengan paspor ini.,You can enter any country with this passport.
You can enter any country with this passport.,Bisa masuk negara mana pun dengan paspor ini.
aku sakit di mana-mana,I have pain everywhere,vocab;health
I have pain everywhere,aku sakit di mana-mana,vocab;health
terutama punggung bagian atasku,especially my upper back,vocab;health
especially my upper back,terutama punggung bagian atasku,vocab;health
aku sudah minum obat pereda nyeri,I have taken painkillers,vocab;health
I have taken painkillers,aku sudah minum obat pereda nyeri,vocab;health
bantal,pillow,vocab;sleep
pillow,bantal,vocab;sleep
mungkin posisi bantalnya tidak bagus,maybe the pillow position isn’t good,vocab;sleep
maybe the pillow position isn’t good,mungkin posisi bantalnya tidak bagus,vocab;sleep
aku tidak tahu semuanya,I don’t know everything,vocab;knowledge
I don’t know everything,aku tidak tahu semuanya,vocab;knowledge
tidak terlalu sering,not too often,vocab;frequency
not too often,tidak terlalu sering,vocab;frequency
vegetarian,vegetarian,vocab;food
vegetarian,vegetarian,vocab;food
alasan,reason,vocab;general
reason,alasan,vocab;general
menjadi,to become,vocab;general
to become,menjadi,vocab;general
alasan lingkungan,environmental reasons,vocab;food
environmental reasons,alasan lingkungan,vocab;food
dikonsumsi,to be consumed,vocab;food;passive
to be consumed,dikonsumsi,vocab;food;passive
segar,fresh,vocab;food
fresh,segar,vocab;food
tuna,tuna,vocab;food
tuna,tuna,vocab;food
salmon,salmon,vocab;food
salmon,salmon,vocab;food
umum,common,vocab;general
common,umum,vocab;general
bawa,to bring,vocab;general
to bring,bawa,vocab;general
botol,bottle,vocab;general
bottle,botol,vocab;general
kentang,potato,vocab;food
potato,kentang,vocab;food
aku bukan ahli,I’m not an expert,vocab;opinions
I’m not an expert,aku bukan ahli,vocab;opinions
kurang lebih,more or less,vocab;degree
more or less,kurang lebih,vocab;degree
semoga,hopefully,vocab;hopes
hopefully,semoga,vocab;hopes
aku harap,I hope,vocab;hopes
I hope,aku harap,vocab;hopes
menurut kamu,in your opinion,vocab;opinions
in your opinion,menurut kamu,vocab;opinions
baru-baru ini,recently,vocab;time
recently,baru-baru ini,vocab;time
kedutaan,embassy,vocab;admin
embassy,kedutaan,vocab;admin
bayar,to pay,vocab;admin
to pay,bayar,vocab;admin
dibayar,is/was paid,vocab;admin;passive
is/was paid,dibayar,vocab;admin;passive
menerima,to accept/receive,vocab;admin
to accept/receive,menerima,vocab;admin
diterima,is/was accepted,vocab;admin;passive
is/was accepted,diterima,vocab;admin;passive
oleh,by,vocab;grammar
by,oleh,vocab;grammar
Aku sakit di mana-mana.,I have pain everywhere.,sentence;health
I have pain everywhere.,Aku sakit di mana-mana.,sentence;health
Terutama punggung bagian atasku.,Especially my upper back.,sentence;health
Especially my upper back.,Terutama punggung bagian atasku.,sentence;health
Aku sudah minum obat pereda nyeri.,I’ve taken painkillers.,sentence;health
I’ve taken painkillers.,Aku sudah minum obat pereda nyeri.,sentence;health
Mungkin posisi bantalnya tidak bagus.,Maybe the pillow position isn’t good.,sentence;sleep
Maybe the pillow position isn’t good.,Mungkin posisi bantalnya tidak bagus.,sentence;sleep
Bantal ini kurang nyaman.,This pillow isn’t very comfortable.,sentence;sleep
This pillow isn’t very comfortable.,Bantal ini kurang nyaman.,sentence;sleep
Aku tidak tahu semuanya.,I don’t know everything.,sentence;knowledge
I don’t know everything.,Aku tidak tahu semuanya.,sentence;knowledge
Aku tidak terlalu sering olahraga.,I don’t exercise too often.,sentence;frequency
I don’t exercise too often.,Aku tidak terlalu sering olahraga.,sentence;frequency
Aku vegetarian karena alasan lingkungan.,I’m vegetarian for environmental reasons.,sentence;food
I’m vegetarian for environmental reasons.,Aku vegetarian karena alasan lingkungan.,sentence;food
Di restoran ini kentang gorengnya selalu segar.,The fries here are always fresh.,sentence;food
The fries here are always fresh.,Di restoran ini kentang gorengnya selalu segar.,sentence;food
Tuna dan salmon cukup umum di sini.,Tuna and salmon are quite common here.,sentence;food
Tuna and salmon are quite common here.,Tuna dan salmon cukup umum di sini.,sentence;food
Produk ini dikonsumsi tanpa dimasak.,This product is consumed without cooking.,sentence;food;passive
This product is consumed without cooking.,Produk ini dikonsumsi tanpa dimasak.,sentence;food;passive
Boleh aku bawa botol air?,May I bring a water bottle?,sentence;general
May I bring a water bottle?,Boleh aku bawa botol air?,sentence;general
"Menurut kamu, apa alasannya?","In your opinion, what’s the reason?",sentence;opinions
"In your opinion, what’s the reason?","Menurut kamu, apa alasannya?",sentence;opinions
"Aku bukan ahli, tapi itu masuk akal.","I’m not an expert, but that makes sense.",sentence;opinions
"I’m not an expert, but that makes sense.","Aku bukan ahli, tapi itu masuk akal.",sentence;opinions
Harganya kurang lebih sama.,The price is more or less the same.,sentence;degree
The price is more or less the same.,Harganya kurang lebih sama.,sentence;degree
Semoga wawancaranya lancar.,Hopefully the interview goes smoothly.,sentence;hopes
Hopefully the interview goes smoothly.,Semoga wawancaranya lancar.,sentence;hopes
Aku harap dokumenmu diterima.,I hope your documents are accepted.,sentence;hopes;passive
I hope your documents are accepted.,Aku harap dokumenmu diterima.,sentence;hopes;passive
Baru-baru ini aku jarang makan di luar.,Recently I rarely eat out.,sentence;time
Recently I rarely eat out.,Baru-baru ini aku jarang makan di luar.,sentence;time
Aku harus bayar biaya di kedutaan.,I have to pay a fee at the embassy.,sentence;admin
I have to pay a fee at the embassy.,Aku harus bayar biaya di kedutaan.,sentence;admin
Biayanya dibayar oleh perusahaan.,The fee is paid by the company.,sentence;admin;passive
The fee is paid by the company.,Biayanya dibayar oleh perusahaan.,sentence;admin;passive
Aplikasi ini sudah diterima oleh panitia.,This application has been accepted by the committee.,sentence;admin;passive
This application has been accepted by the committee.,Aplikasi ini sudah diterima oleh panitia.,sentence;admin;passive
Dokumen itu ditandatangani oleh petugas.,The document was signed by the officer.,sentence;admin;passive
The document was signed by the officer.,Dokumen itu ditandatangani oleh petugas.,sentence;admin;passive
English,Indonesian
I need,aku butuh
waterfall,air terjun
the next day,hari berikutnya
rich,kaya
developed country,negara berkembang
similar,miriphttps://app.todoist.com/app/project/today-6CrgHP2vq2R8Q6mJ
bitter,pahit
the taste is very strong,rasanya sangat kuat
not as hot as Indonesia,tidak sepanas Indonesia
to apply,melamar
I take a tourist visa for 6 months,aku ambil visa turis untuk 6 bulan
sun,matahari
jumper / sweater,sweter
everything is cheap,semuanya murah
in Argentina (it’s) as expensive as,di Argentina semahal
Malaysia is not as cheap as Indonesia,malaysia tidak semurah Indonesia
but more expensive than I thought,tapi lebih mahal dari yang saya pikir
I’m in the city of Buenos Aires and 40 percent of Argentinians live in Buenos Aires,aku di kota Buenos Aires dan 40 persen orang Argentina tinggal di Buenos Aires
drink / beverage,minuman
similar to tea and has caffeine,mirip teh dan punya kafein
December,desember

I need a tourist visa for six months.,Aku butuh visa turis untuk enam bulan.
Everything is cheap in Argentina.,Semuanya murah di Argentina.
Malaysia is not as cheap as Indonesia.,Malaysia tidak semurah Indonesia.
But it’s more expensive than I thought.,Tapi lebih mahal dari yang saya pikir.
Not as hot as Indonesia today.,Tidak sepanas Indonesia hari ini.
That waterfall is very beautiful.,Air terjun itu sangat indah.
The taste is very strong and a bit bitter.,Rasanya sangat kuat dan sedikit pahit.
That drink is similar to tea and has caffeine.,Minuman itu mirip teh dan punya kafein.
I’m wearing a jumper because the sun isn’t very hot.,Aku pakai sweter karena matahari tidak terlalu panas.
That country is developed and many people are rich.,Negara itu sudah berkembang dan banyak orang kaya.
I want to apply for a new job in December.,Saya ingin melamar pekerjaan baru di bulan Desember.

aku butuh,I need
air terjun,waterfall
hari berikutnya,the next day
kaya,rich
negara berkembang,developed country
mirip,similar
pahit,bitter
rasanya sangat kuat,the taste is very strong
tidak sepanas Indonesia,not as hot as Indonesia
melamar,to apply
aku ambil visa turis untuk 6 bulan,I take a tourist visa for 6 months
matahari,sun
sweter,jumper / sweater
semuanya murah,everything is cheap
di Argentina semahal,in Argentina (it’s) as expensive as
malaysia tidak semurah Indonesia,Malaysia is not as cheap as Indonesia
tapi lebih mahal dari yang saya pikir,but more expensive than I thought
aku di kota Buenos Aires dan 40 persen orang Argentina tinggal di Buenos Aires,I’m in the city of Buenos Aires and 40 percent of Argentinians live in Buenos Aires
minuman,drink / beverage
mirip teh dan punya kafein,similar to tea and has caffeine
desember,December

gift card,kartu hadiah
kartu hadiah,gift card
to fix,memperbaiki
memperbaiki,to fix
air,udara
udara,air
to focus,fokus
fokus,to focus
sleepy,ngantuk
ngantuk,sleepy
exceptional,pengecualian
pengecualian,exceptional
to get,mendapat
mendapat,to get
not usual,tidak biasa
tidak biasa,not usual
weak,lemah
lemah,weak
rejected,ditolak
ditolak,rejected
question,pertanyaan
pertanyaan,question
you all,kalian
kalian,you all
Europe,Eropa
Eropa,Europe
Sweden,Swedia
Swedia,Sweden
share,berbagi
berbagi,share
resources,sumber daya
sumber daya,resources
opinion,pendapat
pendapat,opinion
great britain,Britania Raya
Britania Raya,great britain
nature,alam
alam,nature
tree,pohon
pohon,tree
plants,tanaman
tanaman,plants
grow,tumbuh
tumbuh,grow
I realised,aku sadar
aku sadar,I realised
berry,beri
beri,berry
poisonous,beracun
beracun,poisonous
poison,racun
racun,poison
politician,politisi
politisi,politician
payment area,area pembayaran
area pembayaran,payment area
cherry,ceri
ceri,cherry
mango,mangga
mangga,mango
depend,tergantung
tergantung,depend
pumpkin,labu
labu,pumpkin
vegetable,sayur
sayur,vegetable
chilli,cabai
cabai,chilli
spring onion,daun bawang
daun bawang,spring onion
lettuce,selada
selada,lettuce
pepper,paprika
paprika,pepper
paprika (spice),bubuk paprika
bubuk paprika,paprika (spice)
especially,khususnya
khususnya,especially

Aku memperbaiki laptop.,I fix the laptop.
I fix the laptop.,Aku memperbaiki laptop.

Aku harus fokus hari ini.,I must focus today.
I must focus today.,Aku harus fokus hari ini.

Aku mendapat hadiah.,I got a gift.
I got a gift.,Aku mendapat hadiah.

Kami berbagi sumber daya.,We share resources.
We share resources.,Kami berbagi sumber daya.

Tanaman ini tumbuh cepat.,This plant grows fast.
This plant grows fast.,Tanaman ini tumbuh cepat.

Itu tergantung kamu.,It depends on you.
It depends on you.,Itu tergantung kamu.

