Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
Do you need something?,Apakah kamu butuh sesuatu?
lusa,the day after tomorrow,lesson2 tenses time id-en
Rumah itu sangat bersih.,That house is very clean.,lesson8 id-en phrase
bisa kurang?,can you lower it?,lesson3 shopping shopping id-en
need (neutral/formal),perlu,lesson2 tenses needs en-id
garden; orchard,kebun
Everyone has arrived.,Semua orang sudah datang.
everything is good,semuanya baik,lesson6 health-comm en-id
same,sama,lesson6 comparison en-id
June,Juni
half,setengah,lesson8 quantifiers en-id
risiko,risk
perusahaan,company / business,lesson2 tenses work id-en
Bali has more culture,Bali lebih banyak budaya,lesson5 phrases-grammar en-id
Kita mulai kursus pada bulan September.,We start the course in September.
tolong,"""please help"" (urgent)",lesson4 verbs id-en
kebun,garden; orchard
depan,in front / next (time),lesson7 directions id-en
bertanggung jawab,to be responsible
seribu,one thousand
fever,demam,lesson7 health-weather en-id
cantik,beautiful (for women/objects),lesson1 adjectives-prefixes quality id-en
tired (informal),capek,lesson2 tenses feelings en-id
Tuesday,Selasa,lesson4 time en-id
many / much,banyak
shopping,belanja,lesson8 money-shopping en-id
location,lokasi,lesson9 places en-id
nenek,grandmother,lesson5 family id-en
afraid,takut,lesson9 descriptions en-id
kamar,bedroom,lesson5 rooms id-en
Semua orang sudah datang.,Everyone has arrived.,lesson8 id-en phrase
winter,musim dingin,lesson1 adjectives-prefixes weather en-id
beautiful (scenery/view),indah,lesson1 adjectives-prefixes quality en-id
Saya membersihkan debu setiap pagi.,I clean the dust every morning.,lesson8 id-en phrase
Teh ini tidak panas lagi.,This tea is not hot anymore.,lesson9 id-en phrase
The music is too loud.,Musiknya terlalu keras.,lesson8 en-id phrase
maybe there's an infection,mungkin ada infeksi,lesson6 health-comm en-id
main,to play,lesson6 sports id-en
heavy rain,hujan deras,lesson7 health-weather en-id
tourist(s),wisatawan,lesson9 people-culture en-id
different things,hal-hal yang berbeda,lesson9 comparison-misc en-id
problem,masalah,lesson6 health-comm en-id
to use the heating,buat pemanas,lesson6 temperature en-id
pesawat,aeroplane,lesson7 transport id-en
pemanas,heater / heating,lesson9 comparison-misc id-en
aku mau tanya,I want to ask,lesson9 comparison-misc id-en
cara,way / method,lesson8 activities-methods id-en
seventeen,tujuh belas
gosong,"burnt (e.g., food)",lesson7 health-weather id-en
lease / contract,kontrak,lesson1 adjectives-prefixes rentals en-id
saya sakit kepala karena terlalu panas,I have a headache because it's too hot,lesson5 phrases-grammar id-en
handsome (for men),ganteng,lesson1 adjectives-prefixes quality en-id
tired (formal),lelah,lesson2 tenses feelings en-id
I never smoke.,Saya tidak pernah merokok.
to ask; to request,meminta (minta)
kapal,boat / ship,lesson4 travel id-en
semua,all / every
hal,thing,lesson9 comparison-misc id-en
"Di awal rapat kami bertanya, dan di akhir semua sepakat.","At the beginning of the meeting we asked questions, and in the end everyone agreed."
tidak sebagus …,not as good as …,lesson9 comparison-misc id-en
around; about (approx.),sekitar
temperature,suhu,lesson1 adjectives-prefixes weather en-id
outside,di luar,lesson2 tenses location en-id
full,penuh,lesson7 transport en-id
macet,traffic jam,lesson7 transport id-en
twelve,dua belas
heater / heating,pemanas,lesson9 comparison-misc en-id
"Sebagai contoh, kita bisa naik kereta.","For example, we can take the train.",lesson9 id-en phrase
satu,one
kawasan,area / region,lesson4 safety-signs id-en
I haven't paid the electricity bill.,Saya belum membayar tagihan listrik.,lesson8 en-id phrase
United Kingdom,Britania Raya,lesson9 places en-id
empat,four
perumahan,residential area,lesson4 safety-signs id-en
penulis,writer,lesson6 writing id-en
messy; untidy,berantakan
can’t handle the cold,tidak tahan dingin,lesson6 temperature en-id
to ask (a question),bertanya (tanya)
Saya tinggal di Jakarta selama dua bulan.,I stayed in Jakarta for two months.,lesson2 tenses id-en phrase
Bali is slowly losing its culture,Bali pelan-pelan kehilangan budayanya,lesson5 phrases-grammar en-id
mengimpor,to import
when I was little,ketika aku masih kecil,lesson8 time-change en-id
some / a portion,sebagian
company / business,perusahaan,lesson2 tenses work en-id
enough,cukup,lesson6 temperature en-id
Eating here isn't as expensive as in Dubai.,Makan di sini tidak semahal Dubai.,lesson9 en-id phrase
lunas,paid in full
ago / last / past,lalu,lesson2 tenses time en-id
dataran,plain / flatland,lesson9 places id-en
girlfriend; boyfriend (partner),pacar
semua,all / every,lesson8 quantifiers id-en
activities,kegiatan,lesson8 activities-methods en-id
never,tidak pernah
buah,fruit
very / really (before adj./verb),sangat,lesson1 adjectives-prefixes intensifier en-id
always,selalu
berkunjung,to visit (intransitive),lesson2 tenses travel id-en
masuk,to enter,lesson2 tenses movement id-en
akan,will / going to (marker),lesson2 tenses grammar id-en
Saya tidak pernah merokok.,I never smoke.
bland / to bargain,tawar,lesson3 shopping shopping en-id
bertemu,to meet,lesson3 shopping misc id-en
lebih murah dari...,cheaper than...,lesson7 grammar-expressions id-en
I have already eaten.,Saya sudah makan.,lesson2 tenses en-id phrase
Siapa pun bisa ikut.,Anyone can join.
Semua orang sudah datang.,Everyone has arrived.
floor,lantai,lesson5 rooms en-id
March,Maret
card,kartu,lesson3 shopping shopping en-id
bus (alt. spelling),bis,lesson7 transport en-id
fifteen,lima belas
all / every,semua
menerima,to accept; to receive
to write,tulis,lesson6 writing en-id
kartu,card,lesson3 shopping shopping id-en
Agustus,August
biasanya Sanur aman,Sanur is usually safe,lesson5 phrases-grammar id-en
broken / broken down,rusak,lesson7 health-weather en-id
bahaya,danger / dangerous (colloq.),lesson9 descriptions id-en
again / more,lagi,lesson3 shopping misc en-id
to be responsible,bertanggung jawab
I have little time.,Saya punya sedikit waktu.
tanggung jawab,responsibility
Mei,May
